Date,Open,High,Low,Close,Adj Close,Volume
1997-05-20,12.980000,12.980000,12.980000,12.980000,8.183894,0
1997-05-21,12.950000,12.950000,12.950000,12.950000,8.164979,0
1997-05-22,12.890000,12.890000,12.890000,12.890000,8.127150,0
1997-05-23,13.060000,13.060000,13.060000,13.060000,8.234336,0
1997-05-27,13.100000,13.100000,13.100000,13.100000,8.259552,0
1997-05-28,13.070000,13.070000,13.070000,13.070000,8.240639,0
1997-05-29,13.020000,13.020000,13.020000,13.020000,8.209114,0
1997-05-30,13.090000,13.090000,13.090000,13.090000,8.253248,0
1997-06-02,13.060000,13.060000,13.060000,13.060000,8.234336,0
1997-06-03,13.050000,13.050000,13.050000,13.050000,8.228028,0
1997-06-04,12.970000,12.970000,12.970000,12.970000,8.177589,0
1997-06-05,13.020000,13.020000,13.020000,13.020000,8.209114,0
1997-06-06,13.240000,13.240000,13.240000,13.240000,8.347824,0
1997-06-09,13.320000,13.320000,13.320000,13.320000,8.398263,0
1997-06-10,13.360000,13.360000,13.360000,13.360000,8.423483,0
1997-06-11,13.420000,13.420000,13.420000,13.420000,8.461311,0
1997-06-12,13.640000,13.640000,13.640000,13.640000,8.600024,0
1997-06-13,13.790000,13.790000,13.790000,13.790000,8.694598,0
1997-06-16,13.800000,13.800000,13.800000,13.800000,8.700903,0
1997-06-17,13.810000,13.810000,13.810000,13.810000,8.707209,0
1997-06-18,13.730000,13.730000,13.730000,13.730000,8.656769,0
1997-06-19,13.870000,13.870000,13.870000,13.870000,8.745038,0
1997-06-20,13.880000,13.880000,13.880000,13.880000,8.751341,0
1997-06-23,13.570000,13.570000,13.570000,13.570000,8.555886,0
1997-06-24,13.840000,13.840000,13.840000,13.840000,8.726122,0
1997-06-25,13.730000,13.730000,13.730000,13.730000,8.656769,0
1997-06-26,13.650000,13.650000,13.650000,13.650000,8.606328,0
1997-06-27,13.700000,13.700000,13.700000,13.700000,8.637852,0
1997-06-30,13.670000,13.670000,13.670000,13.670000,8.618937,0
1997-07-01,13.760000,13.760000,13.760000,13.760000,8.675684,0
1997-07-02,13.960000,13.960000,13.960000,13.960000,8.801784,0
1997-07-03,14.160000,14.160000,14.160000,14.160000,8.927882,0
1997-07-07,14.090000,14.090000,14.090000,14.090000,8.883747,0
1997-07-08,14.190000,14.190000,14.190000,14.190000,8.946797,0
1997-07-09,14.020000,14.020000,14.020000,14.020000,8.839613,0
1997-07-10,14.120000,14.120000,14.120000,14.120000,8.902665,0
1997-07-11,14.160000,14.160000,14.160000,14.160000,8.927882,0
1997-07-14,14.190000,14.190000,14.190000,14.190000,8.946797,0
1997-07-15,14.300000,14.300000,14.300000,14.300000,9.016155,0
1997-07-16,14.470000,14.470000,14.470000,14.470000,9.123341,0
1997-07-17,14.390000,14.390000,14.390000,14.390000,9.072900,0
1997-07-18,14.140000,14.140000,14.140000,14.140000,8.915275,0
1997-07-21,14.100000,14.100000,14.100000,14.100000,8.890053,0
1997-07-22,14.430000,14.430000,14.430000,14.430000,9.098120,0
1997-07-23,14.470000,14.470000,14.470000,14.470000,9.123341,0
1997-07-24,14.530000,14.530000,14.530000,14.530000,9.161170,0
1997-07-25,14.500000,14.500000,14.500000,14.500000,9.142251,0
1997-07-28,14.500000,14.500000,14.500000,14.500000,9.142251,0
1997-07-29,14.560000,14.560000,14.560000,14.560000,9.180084,0
1997-07-30,14.710000,14.710000,14.710000,14.710000,9.274659,0
1997-07-31,14.750000,14.750000,14.750000,14.750000,9.299876,0
1997-08-01,14.640000,14.640000,14.640000,14.640000,9.230525,0
1997-08-04,14.690000,14.690000,14.690000,14.690000,9.262048,0
1997-08-05,14.720000,14.720000,14.720000,14.720000,9.280966,0
1997-08-06,14.840000,14.840000,14.840000,14.840000,9.356624,0
1997-08-07,14.700000,14.700000,14.700000,14.700000,9.268355,0
1997-08-08,14.430000,14.430000,14.430000,14.430000,9.098120,0
