Date,Open,High,Low,Close,Adj Close,Volume
2019-02-26,9.660000,9.660000,9.660000,9.660000,9.199029,0
2019-02-27,9.660000,9.660000,9.660000,9.660000,9.199029,0
2019-02-28,9.630000,9.630000,9.630000,9.630000,9.170460,0
2019-03-01,9.700000,9.700000,9.700000,9.700000,9.237119,0
2019-03-04,9.650000,9.650000,9.650000,9.650000,9.189505,0
2019-03-05,9.640000,9.640000,9.640000,9.640000,9.179982,0
2019-03-06,9.580000,9.580000,9.580000,9.580000,9.122845,0
2019-03-07,9.510000,9.510000,9.510000,9.510000,9.056186,0
2019-03-08,9.490000,9.490000,9.490000,9.490000,9.037141,0
2019-03-11,9.630000,9.630000,9.630000,9.630000,9.170460,0
2019-03-12,9.660000,9.660000,9.660000,9.660000,9.199029,0
2019-03-13,9.730000,9.730000,9.730000,9.730000,9.265687,0
2019-03-14,9.720000,9.720000,9.720000,9.720000,9.256166,0
2019-03-15,9.770000,9.770000,9.770000,9.770000,9.303779,0
2019-03-18,9.810000,9.810000,9.810000,9.810000,9.341869,0
2019-03-19,9.800000,9.800000,9.800000,9.800000,9.332347,0
2019-03-20,9.780000,9.780000,9.780000,9.780000,9.313300,0
2019-03-21,9.890000,9.890000,9.890000,9.890000,9.418053,0
2019-03-22,9.700000,9.700000,9.700000,9.700000,9.237119,0
2019-03-25,9.690000,9.690000,9.690000,9.690000,9.227595,0
2019-03-26,9.760000,9.760000,9.760000,9.760000,9.294256,0
2019-03-27,9.710000,9.710000,9.710000,9.710000,9.246642,0
2019-03-28,9.750000,9.750000,9.750000,9.750000,9.284734,0
2019-03-29,9.810000,9.810000,9.810000,9.810000,9.341869,0
2019-04-01,9.930000,9.930000,9.930000,9.930000,9.456144,0
2019-04-02,9.930000,9.930000,9.930000,9.930000,9.456144,0
2019-04-03,9.950000,9.950000,9.950000,9.950000,9.475188,0
2019-04-04,9.970000,9.970000,9.970000,9.970000,9.494235,0
2019-04-05,10.010000,10.010000,10.010000,10.010000,9.532327,0
2019-04-08,10.030000,10.030000,10.030000,10.030000,9.551372,0
2019-04-09,9.970000,9.970000,9.970000,9.970000,9.494235,0
2019-04-10,10.010000,10.010000,10.010000,10.010000,9.532327,0
2019-04-11,10.010000,10.010000,10.010000,10.010000,9.532327,0
2019-04-12,10.070000,10.070000,10.070000,10.070000,9.589463,0
2019-04-15,10.070000,10.070000,10.070000,10.070000,9.589463,0
2019-04-16,10.070000,10.070000,10.070000,10.070000,9.589463,0
2019-04-17,10.050000,10.050000,10.050000,10.050000,9.570417,0
2019-04-18,10.060000,10.060000,10.060000,10.060000,9.579941,0
2019-04-22,10.080000,10.080000,10.080000,10.080000,9.598985,0
2019-04-23,10.170000,10.170000,10.170000,10.170000,9.684691,0
2019-04-24,10.140000,10.140000,10.140000,10.140000,9.656123,0
2019-04-25,10.140000,10.140000,10.140000,10.140000,9.656123,0
2019-04-26,10.190000,10.190000,10.190000,10.190000,9.703736,0
2019-04-29,10.200000,10.200000,10.200000,10.200000,9.713259,0
2019-04-30,10.210000,10.210000,10.210000,10.210000,9.722782,0
2019-05-01,10.140000,10.140000,10.140000,10.140000,9.656123,0
2019-05-02,10.120000,10.120000,10.120000,10.120000,9.637076,0
2019-05-03,10.220000,10.220000,10.220000,10.220000,9.732305,0
2019-05-06,10.170000,10.170000,10.170000,10.170000,9.684691,0
2019-05-07,10.000000,10.000000,10.000000,10.000000,9.522803,0
